HOME,DATE,INOUT,GRASSTURF,SPREAD,OULINE,OUACTUAL,TEMPERATURE,RELHUMIDITY,WINDSPEED,WINDCHILL,AWAY
ATL,20091213,Indoors,fieldturf,-10,50,49,69.5,37.5,0,69.5,NO
JAC,20091213,outdoors,grass,-2,43,24,75,84,13,75,MIA
KC,20091213,outdoors,grass,-2.5,38,26,42,80,3,40.62827566,BUF
NE,20091213,outdoors,fieldturf,-12.5,43.5,30,40,59,4,37.31863526,CAR
MIN,20091213,Indoors,fieldturf,-6,42.5,40,69.5,37.5,0,69.5,CIN
IND,20091213,Indoors,fieldturf,-6.5,43.5,44,69.5,37.5,0,69.5,DEN
BAL,20091213,outdoors,sportturf,-14,40.5,51,36,100,3,33.84135107,DET
CHI,20091213,outdoors,grass,-4,42,35,38,82,8,32.15252479,GB
SF,20091214,outdoors,grass,-4,45,33,53,83,0,53,ARI
JAC,20091217,outdoors,grass,-3,43.5,66,56,85,10,53.47335631,IND
NO,20091219,Indoors,fieldturf,-7.5,53.5,41,69.5,37.5,0,69.5,DAL
CAR,20091220,outdoors,grass,-9,43,33,37,43,5,32.94872841,MIN
BUF,20091220,outdoors,astroplay,-7,41,27,28,52,5,22.37769906,NE
DEN,20091220,outdoors,grass,-14,37,39,57,26,6,56.00401086,OAK
PHI,20091220,outdoors,grass,-7.5,41,40,32,44,18,20.5813966,SF
SEA,20091220,outdoors,fieldturf,-6.5,39,31,52,83,12,47.9371793,TB
TEN,20091220,outdoors,grass,-4.5,43,51,35,72,5,30.59961078,MIA
STL,20091220,Indoors,fieldturf,-14,43.5,29,69.5,37.5,0,69.5,HOU
PIT,20091220,outdoors,dessograss,-2.5,41,73,30,56,10,21.24829326,GB
NYJ,20091220,outdoors,fieldturf,-7,35.5,17,29,31,18,16.68031894,ATL
BAL,20091220,outdoors,sportturf,-11,39,38,32,58,19,20.27690185,CHI
SD,20091220,outdoors,grass,-7,43.5,51,72,54,8,72,CIN
KC,20091220,outdoors,grass,-3,37,75,39,65,15,30.55488267,CLE
DET,20091220,Indoors,fieldturf,-14,47,55,69.5,37.5,0,69.5,ARI
WAS,20091221,outdoors,grass,-3,43.5,57,38,60,12,30.3291444,NYG
TEN,20091225,outdoors,grass,-2,48,59,33,70,7,26.70183867,SD
CLE,20091227,outdoors,grass,-3,37,32,34,84,6,28.61262161,OAK
ARI,20091227,Indoors,grass,-16,43.5,41,69.5,37.5,0,69.5,STL
PIT,20091227,outdoors,dessograss,-3,43,43,39,49,9,32.86408345,BAL
GB,20091227,outdoors,grass,-13.5,43.5,58,18,96,5,10.6321109,SEA
NO,20091227,Indoors,fieldturf,-14,48.5,37,69.5,37.5,0,69.5,TB
IND,20091227,Indoors,fieldturf,-3,40.5,44,69.5,37.5,0,69.5,NYJ
CIN,20091227,outdoors,fieldturf,-13,39.5,27,41,50,14,33.42510692,KC
WAS,20091227,outdoors,grass,-7,42,17,37,53,8,30.93477187,DAL
NE,20091227,outdoors,fieldturf,-9,44.5,42,55,88,14,51.25555747,JAC
MIA,20091227,outdoors,grass,-2,47,47,75,65,6,75,HOU
SF,20091227,outdoors,grass,-14,41,26,55,80,5,54.0907871,DET
PHI,20091227,outdoors,grass,-7,43,57,45,52,7,41.16362763,DEN
ATL,20091227,Indoors,fieldturf,-8,40,34,69.5,37.5,0,69.5,BUF
NYG,20091227,outdoors,fieldturf,-8.5,43,50,50,39,12,45.42174574,CAR
CHI,20091228,outdoors,grass,-8.5,42,66,26,54,9,16.88583518,MIN
MIN,20100103,Indoors,fieldturf,-8,48,51,69.5,37.5,0,69.5,NYG
SEA,20100103,outdoors,fieldturf,-6,45,30,46,85,0,46,TEN
DAL,20100103,Indoors,fieldturf,-3,47,24,69.5,37.5,0,69.5,PHI
MIA,20100103,outdoors,grass,-3,46,54,60,44,11,58.20672371,PIT
OAK,20100103,outdoors,grass,-10,39,34,54,80,6,52.43122096,BAL
STL,20100103,Indoors,fieldturf,-7,39.5,34,69.5,37.5,0,69.5,SF
SD,20100103,outdoors,grass,-3,39,43,74,46,8,74,WAS
HOU,20100103,Indoors,grass,-7.5,47,61,69.5,37.5,0,69.5,NE
CAR,20100103,outdoors,grass,-10,41,33,30,36,7,23.08639143,NO
DEN,20100103,outdoors,grass,-10,38,68,36,63,6,30.99448155,KC
CLE,20100103,outdoors,grass,-2,35,40,16,81,20,-1.004819263,JAC
ARI,20100103,Indoors,grass,-3,44,40,69.5,37.5,0,69.5,GB
BUF,20100103,outdoors,astroplay,-8,32,37,12,81,12,-2.371491848,IND
NYJ,20100103,outdoors,fieldturf,-10,33.5,37,20,49,17,5.370299352,CIN
DET,20100103,Indoors,fieldturf,-4.5,44.5,60,69.5,37.5,0,69.5,CHI
TB,20100103,outdoors,grass,-3,41.5,30,44,0,5,41.17064012,ATL
DAL,20100109,Indoors,fieldturf,-3.5,46,48,69.5,37.5,0,69.5,PHI
CIN,20100109,outdoors,fieldturf,-2.5,34.5,38,21,56,11,9.498810454,NYJ
ARI,20100110,Indoors,grass,-2.5,48,96,69.5,37.5,0,69.5,GB
NE,20100110,outdoors,fieldturf,-4,44,47,20,36,12,7.690242382,BAL
IND,20100116,Indoors,fieldturf,-6.5,44,23,69.5,37.5,0,69.5,BAL
NO,20100116,Indoors,fieldturf,-7,57,59,69.5,37.5,0,69.5,ARI
MIN,20100117,Indoors,fieldturf,-2.5,45,37,69.5,37.5,0,69.5,DAL
SD,20100117,outdoors,grass,-9,42.5,31,63,42,8,62.59634772,NYJ
NO,20100124,Indoors,fieldturf,-3.5,54,59,69.5,37.5,0,69.5,MIN
IND,20100124,Indoors,fieldturf,-8.5,40.5,47,69.5,37.5,0,69.5,NYJ
IND,20100207,outdoors,grass,-4.5,56.5,48,60,57,6,59.57680077,NO
NO,20100909,Indoors,sportturf,-5,49.5,23,69.5,37.5,0,69.5,MIN
PIT,20100912,outdoors,grass ,-1.5,39.5,24,65,67,9,64.82057997,ATL
SEA,20100912,outdoors,fieldturf ,-3,37,37,64,0,11,63.20240712,SF
TEN,20100912,outdoors,grass ,-6.5,40,51,77,45,9,77,OAK
BUF,20100912,outdoors,astroplay ,-3,39,25,62,81,7,61.651162,MIA
PHI,20100912,outdoors,grass ,-3,48,47,69,72,4,69,GB
CHI,20100912,outdoors,grass ,-6.5,45,33,75,45,10,75,DET
JAC,20100912,outdoors,grass ,-3,41.5,41,90,67,10,90,DEN
WAS,20100912,outdoors,grass ,-3,40,20,66,85,2,66,DAL
STL,20100912,Indoors,astroplay ,-3,39.5,30,69.5,37.5,0,69.5,ARI
HOU,20100912,Indoors,grass ,-1,48,58,69.5,37.5,0,69.5,IND
TB,20100912,outdoors,grass ,-2.5,37,31,87,78,6,87,CLE
NE,20100912,outdoors,fieldturf ,-5.5,45,62,62,0,10,60.90990932,CIN
NYG,20100912,outdoors,fieldturf,-6,41,49,64,67,10,63.38876032,CAR
KC,20100913,outdoors,grass ,-4,45.5,35,78,75,10,78,SD
NYJ,20100913,outdoors,fieldturf,-1,36.5,19,67,100,11,66.94916968,BAL
IND,20100919,Indoors,fieldturf ,-4,48.5,52,69.5,37.5,0,69.5,NYG
DET,20100919,Indoors,fieldturf ,-6.5,41,67,69.5,37.5,0,69.5,PHI
TEN,20100919,outdoors,grass ,-6,37,30,87,49,3,87,PIT
OAK,20100919,outdoors,grass ,-3,37.5,30,72,60,6,72,STL
CIN,20100919,outdoors,fieldturf ,-3,39.5,25,78,52,1,78,BAL
DEN,20100919,outdoors,grass ,-3.5,41,45,91,4,9,91,SEA
CAR,20100919,outdoors,grass ,-4,37.5,27,89,39,4,89,TB
NYJ,20100919,outdoors,fieldturf,-3,39.5,42,81,36,6,81,NE
ATL,20100919,Indoors,fieldturf ,-7,43.5,48,69.5,37.5,0,69.5,ARI
